Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032564401626587,0.10076181826139469,0.10032564401626587,0.10032564401626587,469033600,0.0,0.0
1980-12-15,0.0955277555324095,0.0955277555324095,0.09509158134460449,0.09509158134460449,175884800,0.0,0.0
1980-12-16,0.08854823208556069,0.08854823208556069,0.08811206370592117,0.08811206370592117,105728000,0.0,0.0
1980-12-17,0.09029292315244675,0.09072909738447696,0.09029292315244675,0.09029292315244675,86441600,0.0,0.0
1980-12-18,0.09291072189807892,0.09334689023392788,0.09291072189807892,0.09291072189807892,73449600,0.0,0.0
1980-12-19,0.09858095645904541,0.09901713069433195,0.09858095645904541,0.09858095645904541,48630400,0.0,0.0
1980-12-22,0.10337882488965988,0.10381577942079517,0.10337882488965988,0.10337882488965988,37363200,0.0,0.0
1980-12-23,0.10774137079715729,0.10817754516699077,0.10774137079715729,0.10774137079715729,46950400,0.0,0.0
1980-12-24,0.11341160535812378,0.11384777973832771,0.11341160535812378,0.11341160535812378,48003200,0.0,0.0
1980-12-26,0.12388042360544205,0.12431659771315395,0.12388042360544205,0.12388042360544205,55574400,0.0,0.0
1980-12-29,0.12562516331672668,0.12606133761515095,0.12562516331672668,0.12562516331672668,93161600,0.0,0.0
1980-12-30,0.12300813767353737,0.12300813767353737,0.12257197499275208,0.12257197499275208,68880000,0.0,0.0
1980-12-31,0.11951872932580031,0.11951872932580031,0.11908255517482759,0.11908255517482758,35750400,0.0,0.0
1981-01-02,0.12039107829332352,0.12126342668449096,0.12039107829332352,0.12039107829332352,21660800,0.0,0.0
1981-01-05,0.11821024686114112,0.11821024686114112,0.11777408421039581,0.11777408421039581,35728000,0.0,0.0
1981-01-06,0.1129753537049964,0.1129753537049964,0.11253917962312697,0.11253917962312698,45158400,0.0,0.0
1981-01-07,0.10817754516699077,0.10817754516699077,0.10774137079715729,0.10774137079715729,55686400,0.0,0.0
1981-01-08,0.10599664410221651,0.10599664410221651,0.10556048154830933,0.10556048154830933,39827200,0.0,0.0
1981-01-09,0.11123065650463104,0.11166683053740262,0.11123065650463104,0.11123065650463104,21504000,0.0,0.0
1981-01-12,0.11123067912350719,0.11123067912350719,0.1103583425283432,0.1103583425283432,23699200,0.0,0.0
1981-01-13,0.10686897711404028,0.10686897711404028,0.10643280297517776,0.10643280297517776,23049600,0.0,0.0
1981-01-14,0.10686898231506349,0.10730515647515342,0.10686898231506349,0.10686898231506348,14291200,0.0,0.0
1981-01-15,0.10904984176158905,0.1099221784363464,0.10904984176158905,0.10904984176158905,14067200,0.0,0.0
1981-01-16,0.10861366468194375,0.10861366468194375,0.10817749053239822,0.10817749053239822,13395200,0.0,0.0
1981-01-19,0.11472003906965257,0.11515621315412622,0.11472003906965257,0.11472003906965256,41574400,0.0,0.0
1981-01-20,0.11166683053740262,0.11166683053740262,0.11123065650463104,0.11123065650463104,30083200,0.0,0.0
1981-01-21,0.11341160535812378,0.11428394247075264,0.11341160535812378,0.11341160535812378,15904000,0.0,0.0
1981-01-22,0.11472003906965257,0.11559238723859987,0.11472003906965257,0.11472003906965256,35548800,0.0,0.0
