"stamp","symbol","open","high","low","close","volume"
"2022-05-26 04:00:00","AAPL","140.53","140.53","140.19","140.2","2556"
"2022-05-26 04:02:00","AAPL","140.3","140.3","139.6","139.6","14061"
"2022-05-26 04:03:00","AAPL","139.65","139.76","139.65","139.7","3314"
"2022-05-26 04:04:00","AAPL","139.7","139.96","139.7","139.96","1332"
"2022-05-26 04:05:00","AAPL","139.88","139.88","139.61","139.61","3525"
"2022-05-26 04:06:00","AAPL","139.6","139.78","139.51","139.65","10105"
"2022-05-26 04:07:00","AAPL","139.71","139.85","139.71","139.85","1679"
"2022-05-26 04:08:00","AAPL","139.89","139.89","139.79","139.79","1409"
"2022-05-26 04:09:00","AAPL","139.83","139.9","139.7","139.7","2428"
"2022-05-26 04:10:00","AAPL","139.66","139.66","139.66","139.66","529"
"2022-05-26 04:11:00","AAPL","139.68","139.68","139.38","139.38","2585"
"2022-05-26 04:12:00","AAPL","139.49","139.49","139.46","139.46","1549"
"2022-05-26 04:13:00","AAPL","139.5","139.51","139.29","139.29","4084"
"2022-05-26 04:14:00","AAPL","139.4","139.4","139.19","139.19","3157"
"2022-05-26 04:15:00","AAPL","139.04","139.13","138.9","139.05","11033"
"2022-05-26 04:16:00","AAPL","139.02","139.02","138.8","138.8","4092"
"2022-05-26 04:17:00","AAPL","139.02","139.18","139.02","139.18","3895"
"2022-05-26 04:18:00","AAPL","139.25","139.25","139.25","139.25","392"
"2022-05-26 04:19:00","AAPL","139.08","139.08","139","139","1614"
"2022-05-26 04:20:00","AAPL","138.9","138.99","138.59","138.99","6141"
"2022-05-26 04:21:00","AAPL","138.99","138.99","138.95","138.95","659"
"2022-05-26 04:22:00","AAPL","138.99","139.13","138.99","139.13","1222"
"2022-05-26 04:23:00","AAPL","139.02","139.02","139","139","1423"
"2022-05-26 04:24:00","AAPL","138.9","139","138.85","138.85","3258"
"2022-05-26 04:25:00","AAPL","138.94","138.99","138.91","138.91","1041"
"2022-05-26 04:26:00","AAPL","138.84","138.84","138.81","138.81","728"
"2022-05-26 04:27:00","AAPL","138.72","138.72","138.7","138.7","1989"
"2022-05-26 04:28:00","AAPL","138.71","138.71","138.71","138.71","541"
"2022-05-26 04:29:00","AAPL","138.6","138.62","138.5","138.5","5783"
"2022-05-26 04:30:00","AAPL","138.5","138.5","138.5","138.5","736"
"2022-05-26 04:31:00","AAPL","138.45","138.45","138.45","138.45","483"
"2022-05-26 04:32:00","AAPL","138.5","138.5","138.44","138.5","3762"
"2022-05-26 04:33:00","AAPL","138.5","138.5","138.44","138.44","2043"
"2022-05-26 04:34:00","AAPL","138.48","138.53","138.48","138.53","1053"
"2022-05-26 04:35:00","AAPL","138.55","138.55","138.45","138.45","4684"
"2022-05-26 04:37:00","AAPL","138.6","138.64","138.6","138.63","1406"
"2022-05-26 04:38:00","AAPL","138.52","138.52","138.52","138.52","725"
"2022-05-26 04:39:00","AAPL","138.6","138.69","138.6","138.69","751"
"2022-05-26 04:43:00","AAPL","138.7","138.7","138.7","138.7","299"
"2022-05-26 04:44:00","AAPL","138.7","138.7","138.66","138.66","397"
"2022-05-26 04:45:00","AAPL","138.7","138.8","138.69","138.69","7317"
"2022-05-26 04:46:00","AAPL","138.65","138.65","138.6","138.6","1226"
