,country,no_profiles,avg_profile_len,std_profile_len,female_ratio,avg_monthly_duration,total_monthly_duration,std_monthly_duration,avg_high_agreement,avg_low_agreement,avg_views,total_views,std_views,avg_questions,std_questions,total_questions,avg_answers,std_answers,total_answers,avg_comments,std_comments,total_comments,lon,lat
0,Afghanistan,1695,11.750413223140496,31.47298095919898,0.13212025316455697,1.338477876106195,2268.7200000000007,1.9123745836940855,11.532153392330384,0.5321533923303835,11.776401179941002,19961,54.83609933131982,6.039665970772442,12.900832442616215,2893.0,12.782312925170068,26.802403490309874,3758.0,24.606299212598426,67.02389489227919,9375.0,66.2385139,33.7680065
1,Albania,1338,15.770491803278688,40.32064234789615,0.24342105263157895,1.804656203288496,2414.630000000008,2.261244699940581,11.335575485799701,1.45440956651719,20.43946188340807,27348,134.2473397861215,4.786842105263158,6.4496700147791834,1819.0,13.290322580645162,36.926493544093084,4120.0,24.562841530054644,63.99687609338292,8990.0,19.9999619,41.000028
2,Algeria,8999,12.88040426726558,27.41695864623775,0.18508535489667566,1.2100077786420895,10888.860000000164,1.8049471019499352,10.217913101455718,0.9853317035226137,10.758084231581288,96812,142.69769585236793,4.240872210953347,9.184245927793999,8363.0,13.535018050541517,74.70727340192984,18746.0,24.412938331318017,160.34046686174398,40379.0,2.9999825,28.0000272
3,American Samoa,50,9.533333333333333,14.574276098987688,0.1794871794871795,1.208,60.4,2.095799491889452,0.6,0.0,3.22,161,8.212210918094183,3.1666666666666665,2.757908737804898,38.0,1.75,0.9574271077563381,7.0,6.222222222222222,7.838650677536564,56.0,-170.692511,-14.289304
4,Andorra,103,23.448979591836736,49.68780082696766,0.18292682926829268,2.54640776699029,262.27999999999986,2.9334390091377793,31.41747572815534,1.058252427184466,77.29126213592232,7961,425.22694358466066,7.833333333333333,10.672318116685796,329.0,84.0,368.67050717021414,3024.0,125.6590909090909,657.0543831933342,5529.0,1.5732033,42.5407167
5,Angola,534,18.621951219512194,41.654771707276666,0.11299435028248588,1.2947752808988753,691.4099999999994,1.8975012318879632,5.380149812734082,0.13670411985018727,4.179775280898877,2232,22.70120549456029,4.125,6.333287165113349,396.0,5.546511627906977,12.580710703523293,477.0,12.175824175824175,26.512300460391515,1108.0,17.5691241,-11.8775768
6,Anguilla,8,4.0,4.242640687119285,0.0,0.7425,5.94,1.0483558556139227,0.0,0.0,2.375,19,4.596194077712559,1.0,0.0,2.0,1.0,,1.0,1.5,0.7071067811865476,3.0,-63.0750234,18.1954947
7,Antigua and Barbuda,30,28.25,36.57380014631863,0.17391304347826086,1.4856666666666665,44.56999999999999,2.373204850906853,0.3333333333333333,0.0,2.4,72,4.643126176366002,2.5454545454545454,2.5441555126853532,28.0,2.0,0.816496580927726,8.0,3.5,3.295017884191656,28.0,-61.9554608,17.2234721
8,Argentina,22907,14.60014766374855,31.613493820509202,0.1330040871934605,2.4494704675427195,56110.020000001074,2.9508191792365683,23.445235080979614,1.5726633780067227,19.59112934910726,448774,166.1929982184437,5.68039914468995,15.695752209519684,39848.0,14.450704225352112,59.42203690066879,87210.0,27.781838143036385,142.80855224396348,177137.0,-64.9672817,-34.9964963
9,Armenia,2456,14.852135815991238,31.303919068572068,0.14852941176470588,2.4044747557003294,5905.390000000009,2.660852819695099,30.811889250814332,2.34242671009772,34.498778501628664,84729,284.21163623901776,6.834498834498834,15.365424324904351,5864.0,18.8125,64.20926803850676,13846.0,34.003690036900366,138.2690895296985,27645.0,44.6736646,40.7696272
10,Aruba,53,3.8,6.304193615590907,0.16666666666666666,2.11622641509434,112.16000000000003,3.1725064262619616,23.67924528301887,0.09433962264150944,24.49056603773585,1298,89.86777094956051,9.117647058823529,15.78322825399313,155.0,10.1,10.093452222989802,101.0,25.5625,40.30048593586269,409.0,-69.9609842,12.4902998
11,Australia,61464,19.363515794550278,39.603569065533634,0.15401820144994602,2.8807664649225284,177063.42999999828,3.42414410412396,49.65819016009371,7.652935051412209,60.077362358453726,3692595,694.8855117550652,8.676705154148316,26.281074127533046,218679.0,30.609613019207114,195.90037379248096,647026.0,61.91961898395722,604.4348955027993,1482108.0,134.755,-24.7761086
12,Austria,15958,11.84705174488568,32.355221287115015,0.14806833923349239,3.073293019175327,49043.60999999987,3.287331846751648,58.6699461085349,8.569933575636044,66.67589923549318,1064014,1061.460141678164,8.257604823239244,24.050167129967065,60264.0,31.24619330020837,219.3812715999383,194945.0,63.03972741771785,505.16585958998206,434785.0,14.12456,47.59397
13,Azerbaijan,3255,9.93141153081511,23.77661938227088,0.13754805638615977,1.6957265745007835,5519.59000000005,2.2017673836613953,17.82457757296467,0.9674347158218126,13.211981566820276,43005,87.72759798538242,5.48326359832636,16.255187886090965,5242.0,11.667617689015692,35.6496755128799,8179.0,22.0711743772242,95.2602618803471,18606.0,47.7872508,40.3936294
14,Bahamas,164,26.17241379310345,41.55028149503923,0.18333333333333332,1.5376829268292675,252.1799999999999,2.482102215471852,4.378048780487805,0.10975609756097561,8.353658536585366,1370,40.35756501596269,4.528301886792453,6.32942995848911,240.0,3.657142857142857,4.242244530370944,128.0,11.292682926829269,14.891682078326516,463.0,-78.0000547,24.7736546
15,Bahrain,983,15.676795580110497,29.619432168804636,0.1670792079207921,2.152787385554425,2116.1899999999996,2.679974572515859,29.513733468972532,1.318413021363174,19.418107833163784,19088,90.7147066451265,5.747282608695652,10.291328229988267,2115.0,12.968253968253968,29.491557711014455,3268.0,23.353312302839118,58.65778324212399,7403.0,50.5344606,26.1551249
